chr	start	end	pvalue	qvalue
chr21	26950000	27000000	0.8643148392745315	0.9570943982927016
chr21	27000000	27050000	0.9050655240303992	0.9725171237435138
chr21	27050000	27100000	0.805968186678206	0.9026843690795907
chr21	27100000	27150000	0.31289873641261434	0.4258899467838362
chr21	27150000	27200000	0.09019296740956745	0.1449001771497969
chr21	27200000	27250000	0.029855693104032098	0.0517850960034539
chr21	27250000	27300000	0.02189875908083401	0.03866807909768888
chr21	27300000	27350000	0.006761073503243366	0.013251704066356996
chr21	27350000	27400000	0.002469231983719156	0.005094415461146891
chr21	27400000	27450000	0.017322304721368472	0.03143677523507612
chr21	27450000	27500000	0.20496980759224398	0.29539766388293986
chr21	27500000	27550000	0.18919280266621286	0.2746799209079831
chr21	27550000	27600000	0.03654112730942238	0.06174190476419644
chr21	27600000	27650000	0.013332398576997867	0.02465235963293945
chr21	27650000	27700000	0.011508411802468225	0.021482368697940686
chr21	27700000	27750000	0.00011099024625171184	0.0003296073979596291
chr21	27750000	27800000	1.5461306912889212e-09	1.5949558710138346e-08
chr21	27800000	27850000	7.231821643239721e-06	2.8927286572958884e-05
chr21	27850000	27900000	0.032682409889375146	0.05570219424623937
chr21	27900000	27950000	0.47251161231277294	0.6174151734220233
chr21	27950000	28000000	0.7971886949381766	0.9005442019875333
chr21	28000000	28050000	0.5403415501962163	0.6788906656311436
chr21	28050000	28100000	0.08005947562141214	0.12968311753551057
chr21	28100000	28150000	0.0001560173841694364	0.00043684867567442195
chr21	28150000	28200000	2.966978308843355e-07	1.7103757309802871e-06
chr21	28200000	28250000	0.008864523100847345	0.01703378948790274
chr21	28250000	28300000	0.3478349533220806	0.4669565126789575
chr21	28300000	28350000	0.9197363156619829	0.9725171237435138
chr21	28350000	28400000	0.9904322552800859	0.9904322552800859
chr21	28400000	28450000	0.5897242413571182	0.7224121956624698
chr21	28450000	28500000	0.043374306323711725	0.07204545796141948
chr21	28500000	28550000	0.00017802710405172417	0.0004846293388074713
chr21	28550000	28600000	8.201286806027065e-07	4.23013740521396e-06
chr21	28600000	28650000	3.9972118375500756e-10	6.061878860005481e-09
chr21	28650000	28700000	2.50492973959081e-13	2.4548311447989943e-11
chr21	28700000	28750000	4.4873973002044084e-14	8.795298708400641e-12
chr21	28750000	28800000	1.7562264211480867e-08	1.2748902909075e-07
chr21	28800000	28850000	6.659234824208641e-05	0.0002071761945309355
chr21	28850000	28900000	0.0004165792761956507	0.0010743360280835203
chr21	28900000	28950000	0.0018072348273624624	0.003926141425137512
chr21	28950000	29000000	1.265609337110461e-05	4.770373655262507e-05
chr21	29000000	29050000	1.0457928869430219e-07	6.791616815875825e-07
chr21	29050000	29100000	4.944780646939805e-10	6.922692905715727e-09
chr21	29100000	29150000	7.3655557244331e-13	4.323482399841834e-11
chr21	29150000	29200000	2.2869453086728862e-10	4.074920731817143e-09
chr21	29200000	29250000	9.655116918458268e-10	1.1131781858928357e-08
chr21	29250000	29300000	1.3923857474555081e-08	1.0496446403895368e-07
chr21	29300000	29350000	8.869885131536125e-07	4.457685860977129e-06
chr21	29350000	29400000	0.0001844125748369225	0.0004951351324388604
chr21	29400000	29450000	7.388100189367035e-05	0.00022626056829936548
chr21	29450000	29500000	1.169749310113102e-05	4.495507152591529e-05
chr21	29500000	29550000	6.286833294251933e-05	0.00020029727502282455
chr21	29550000	29600000	0.0002654934010955747	0.0007031987380369277
chr21	29600000	29650000	2.7075526609471278e-05	9.648733119011583e-05
chr21	29650000	29700000	1.6363667205308873e-06	7.458787842419858e-06
chr21	29700000	29750000	1.3470771615671763e-06	6.28636008731349e-06
chr21	29750000	29800000	3.7831296341706513e-06	1.6119421919509732e-05
chr21	29800000	29850000	0.000529360366021991	0.0013301875864142338
chr21	29850000	29900000	0.04013225274139491	0.06723009860951626
chr21	29900000	29950000	0.30813260155167127	0.42233559373515783
chr21	29950000	30000000	0.7994627099277081	0.9005442019875333
chr21	30000000	30050000	0.9536832511439522	0.9725171237435138
chr21	30050000	30100000	0.9331509702287157	0.9725171237435138
chr21	30100000	30150000	0.5111594582579946	0.659126669858993
chr21	30150000	30200000	0.0010442586200939761	0.002407937523981404
chr21	30200000	30250000	0.018602331900895743	0.03314597320523242
chr21	30250000	30300000	0.12389740159719861	0.1912117378980388
chr21	30300000	30350000	0.142814035423032	0.21868399174151779
chr21	30350000	30400000	0.10224898340209199	0.1616193608613712
chr21	30400000	30450000	0.15617679882680138	0.23503794382473409
chr21	30450000	30500000	0.32507029531511145	0.4394053647018058
chr21	30500000	30550000	0.4451825654744155	0.5895661002228746
chr21	30550000	30600000	0.16553561378678686	0.24579530531977442
chr21	30600000	30650000	0.2832716351696177	0.39658028923746474
chr21	30650000	30700000	0.5886760656188113	0.7224121956624698
chr21	30700000	30750000	0.7279345109777481	0.8543423003092133
chr21	30750000	30800000	0.7426976564519892	0.8613534950567449
chr21	30800000	30850000	0.6552592255258821	0.7879190687305085
chr21	30850000	30900000	0.5329454148206341	0.6739180729344791
chr21	30900000	30950000	0.11479024090551888	0.17856259696414048
chr21	30950000	31000000	0.018127585635446784	0.032596392518785045
chr21	31000000	31050000	0.0013404242761561479	0.0029854904332568748
chr21	31050000	31100000	0.00015586459231378816	0.00043684867567442195
chr21	31100000	31150000	3.678347392522141e-05	0.00012648352437444555
chr21	31150000	31200000	8.576947970739175e-05	0.0002586279695792121
chr21	31200000	31250000	0.00014824232215766156	0.00042728669327796566
chr21	31250000	31300000	0.0005940339343890605	0.0014715562264859666
chr21	31300000	31350000	0.004557140065095564	0.009114280130191128
chr21	31350000	31400000	0.003678783031125031	0.0074334172587681045
chr21	31400000	31450000	0.0007098534507193928	0.0016762804378433853
chr21	31450000	31500000	1.600448847303089e-05	5.809036556877879e-05
chr21	31500000	31550000	9.517708849609839e-09	7.461883738094114e-08
chr21	31550000	31600000	8.823433469064967e-13	4.323482399841834e-11
chr21	31600000	31650000	5.016221890311213e-09	4.0965812104208244e-08
chr21	31650000	31700000	9.511537243433166e-06	3.728522599425801e-05
chr21	31700000	31750000	0.0011534089279661448	0.0025984844813949927
chr21	31750000	31800000	0.0005271306137046754	0.0013301875864142338
chr21	31800000	31850000	4.115219947103143e-05	0.00013906605338486483
chr21	31850000	31900000	6.021733352468233e-07	3.1898911813074965e-06
chr21	31900000	31950000	3.2376393774557096e-09	2.8844423544605415e-08
chr21	31950000	32000000	2.0268455623928505e-08	1.4187918936749953e-07
chr21	32000000	32050000	5.1531370137936216e-05	0.00017118895842433047
chr21	32050000	32100000	0.010476877476604656	0.01993658238266517
chr21	32100000	32150000	0.09539967266470371	0.15201899058765794
chr21	32150000	32200000	0.16956753859698026	0.24988900424818142
chr21	32200000	32250000	0.17518012804794186	0.2562336201298254
chr21	32250000	32300000	0.26503932775703726	0.37643266840854567
chr21	32300000	32350000	0.7131008809486068	0.8470774100965268
chr21	32350000	32400000	0.9089144374702637	0.9725171237435138
chr21	32400000	32450000	0.7067661750239583	0.8446717701505843
chr21	32450000	32500000	0.5177083448042576	0.6632080756969575
chr21	32500000	32550000	0.9271980640198374	0.9725171237435138
chr21	32550000	32600000	0.9576316575637662	0.9725171237435138
chr21	32600000	32650000	0.8511763711859681	0.9479009588207372
chr21	32650000	32700000	0.4699848867031715	0.6174151734220233
chr21	32700000	32750000	0.016376689217336447	0.02999842137007424
chr21	32750000	32800000	6.776714561577954e-06	2.7671584459776647e-05
chr21	32800000	32850000	0.07652207264094926	0.12498605198021713
chr21	32850000	32900000	0.7241915005006841	0.8543423003092133
chr21	32900000	32950000	0.9437856088638639	0.9725171237435138
chr21	32950000	33000000	0.9186744952580583	0.9725171237435138
chr21	33000000	33050000	0.5256582227301965	0.6690195562020682
chr21	33050000	33100000	0.023679819113531782	0.04143968344868062
chr21	33100000	33150000	0.37575965406608036	0.5010128720881072
chr21	33150000	33200000	0.9555409899875049	0.9725171237435138
chr21	33200000	33250000	0.988030559463964	0.9904322552800859
chr21	33250000	33300000	0.9428080280904284	0.9725171237435138
chr21	33300000	33350000	0.6306015746506746	0.7676888734877778
chr21	33350000	33400000	0.032643383278304974	0.05570219424623937
chr21	33400000	33450000	0.0022685695462325113	0.004781071301737335
chr21	33450000	33500000	0.2792829342310834	0.3938090295632543
chr21	33500000	33550000	0.7945475159800306	0.9005442019875333
chr21	33550000	33600000	0.9400571587064541	0.9725171237435138
chr21	33600000	33650000	0.9879198156630207	0.9904322552800859
chr21	33650000	33700000	0.9513900858213368	0.9725171237435138
chr21	33700000	33750000	0.8945562146293057	0.9725171237435138
chr21	33750000	33800000	0.7380855644094576	0.8610998251443672
chr21	33800000	33850000	0.29196462867016354	0.40397349635690516
chr21	33850000	33900000	0.06393331096625586	0.10530192394442142
chr21	33900000	33950000	0.1570916869440825	0.23503794382473409
chr21	33950000	34000000	0.29267467593204355	0.40397349635690516
chr21	34000000	34050000	0.14678131883666534	0.22301657745725897
chr21	34050000	34100000	0.0006611688660531498	0.0015803548505660655
chr21	34100000	34150000	0.011341853753238722	0.021375032073411435
chr21	34150000	34200000	0.7864707781642264	0.9005442019875333
chr21	34200000	34250000	0.943049132341872	0.9725171237435138
chr21	34250000	34300000	0.914252364967796	0.9725171237435138
chr21	34300000	34350000	0.5033000973072151	0.6532901925312197
chr21	34350000	34400000	0.0026781873065046227	0.005467965750780271
chr21	34400000	34450000		
chr21	34450000	34500000		
